SKU,committed,totalLocationsQuantity
CR-V52-High-Vis-Yellow-M,0,892
CR-V22-Maroon-3XL,0,50
CR-V52-High-Vis-Orange-3XL,0,91
CR-V22-Maroon-M,0,250
CR-P26-High-Vis-Yellow-Navy-L,342,430
CR-P41-Black-/-White-S,0,0
CR-F51-High-Vis-Yellow-/-Navy-5XL,0,20
CR-F41-High-Vis-Yellow-/-Navy-M,0,20
CR-F51-High-Vis-Yellow-/-Navy-3XL,0,120
CR-CAP-AW-Yellow-Free Size,6,89
CR-V22-High-Vis-Yellow-L,84,4495
CR-V22-Bottle-Green-L,0,489
CR-P41-High-Vis-Yellow-/-Navy-L,0,100
CR-V22-High-Vis-Yellow-S,0,1865
CR-P41-High-Vis-Yellow-/-Pink-3XL,0,50
CR-V22-Royal-S,0,143
CR-V32P-High-Vis-Orange-2XL,1,80
CR-P21-High-Vis-Yellow-/-Navy-7XL,0,200
CR-P31-High-Vis-Yellow-/-Navy-5XL,0,100
gv-hvp26-High-Vis-Yellow-Navy-5XL,0,100
CR-P41-High-Vis-Yellow-/-Grey-7XL,0,1
CR-V22P-High-Vis-Yellow-M,0,0
CR-V22P-High-Vis-Orange-2XL,0,27
CR-V22-White-7XL,0,0
WSK131-CRIMSON-2,0,0
CR-P26-High-Vis-Yellow-Navy-S,0,214
CR-V16-High-Vis-Yellow-8-10,0,98
CR-V22-Light-Blue-3XL,0,45
CR-V32-High-Vis-Yellow-5XL,8,73
CR-P46-High-Vis-Orange-/-Grey-XL,0,73
CR-V22-White-S,0,586
LW-W05-Red-3XL,0,2
CR-F40-High-Vis-Orange-Navy-3XL,0,100
CR-V35-High-Vis-Orange-M,0,95
SY-ZT460-High-Vis-Yellow-Navy-5XL,0,0
CR-P31-High-Vis-Orange-/-Navy-L,0,300
TG-HHYAW-Yellow-Free Size,0,74
CR-V52-High-Vis-Orange-5XL,0,100
CR-V22-Sun-Yellow-S,0,185
CR-P41-High-Vis-Yellow-/-Navy-3XL,0,50
CR-P21-High-Vis-Orange-/-Navy-XL,10,1069
CR-V22-Navy-XS,0,100
CR-V37-High-Vis-Red-5XL,0,93
CR-V32P-High-Vis-Yellow-7XL,0,50
CR-V22-High-Vis-Yellow-XS,0,561
WSK131-Cobalt-Blue-2,0,0
CR-V37-High-Vis-Red-XL,10,173
CR-V32-High-Vis-Orange-L,33,1177
CR-P36-High-Vis-Yellow-/-Navy-3XL,0,100
CR-V32-Pink-XL,0,0
CR-V22-Bottle-Green-XS,0,100
